_id,Date,Line,Time,Day,Station,Incident,Min Delay,Min Gap,Bound,Vehicle,,
112,2025-01-04,504,22:08,Saturday,KING AND SUDBURY,Cleaning - Unsanitary,10,20,W,4591,KING AND SUDBURY,
113,2025-01-04,504,22:14,Saturday,DUNDAS AND BLOOR,Cleaning - Unsanitary,10,20,W,4404,DUNDAS AND BLOOR,
114,2025-01-04,511,22:42,Saturday,BATHURST AND DUNDAS,Held By,14,24,N,4522,BATHURST AND DUNDAS,
115,2025-01-04,512,0:11,Saturday,ST CLAIR AND WYCHWOOD,Utilized Off Route,10,20,E,4626,ST CLAIR AND WYCHWOOD,
116,2025-01-04,506,0:29,Saturday,COLLEGE AND OSSINGTON,Security,24,34,E,4506,COLLEGE AND OSSINGTON,
117,2025-01-04,504,1:38,Saturday,55 CONNAUGHT AVENUE,Operations,10,20,E,4588,55 CONNAUGHT AVENUE,
118,2025-01-05,304,3:07,Sunday,DUNDAS AND BLOOR,Cleaning - Unsanitary,15,30,E,4547,DUNDAS AND BLOOR,
119,2025-01-05,305,3:30,Sunday,DUNDAS AND RIVER,Operations,15,30,E,4422,DUNDAS AND RIVER,
120,2025-01-05,303,3:36,Sunday,KING AND PARLIAMENT,General Delay,18,33,E,4571,KING AND PARLIAMENT,
121,2025-01-05,505,4:05,Sunday,DUNDAS WEST STATION,Security,15,30,None,4601,DUNDAS WEST STATION,
122,2025-01-05,305,4:15,Sunday,DUNDAS WEST STATION,Emergency Services,15,30,W,4405,DUNDAS WEST STATION,
123,2025-01-05,506,4:46,Sunday,COLLEGE AND BATHURST,Cleaning - Unsanitary,20,40,E,4506,COLLEGE AND BATHURST,
124,2025-01-05,304,6:16,Sunday,KING ABD SPENCER,Mechanical,15,30,E,4486,KING ABD SPENCER,
125,2025-01-05,503,6:21,Sunday,KING AND PARLIAMENT,Emergency Services,10,20,W,4516,KING AND PARLIAMENT,
126,2025-01-05,504,6:30,Sunday,KING AND PARLIAMENT,Diversion,20,35,W,4419,KING AND PARLIAMENT,
127,2025-01-05,501,6:50,Sunday,QUEEN AND SILVER BIRCH,Security,14,24,E,4545,QUEEN AND SILVER BIRCH,
128,2025-01-05,504,7:05,Sunday,DUFFERIN GATE LOOP,Cleaning - Unsanitary,15,30,W,4461,DUFFERIN GATE LOOP,
129,2025-01-05,504,7:38,Sunday,BROADVIEW AND GERRARD,Emergency Services,19,34,S,4501,BROADVIEW AND GERRARD,
130,2025-01-05,505,7:41,Sunday,BROADVIEW AND GERRARD,Emergency Services,10,20,S,4438,BROADVIEW AND GERRARD,
131,2025-01-05,None,9:12,Sunday,CNE LOOP,General Delay,None,None,None,None,CNE LOOP,
132,2025-01-05,511,9:35,Sunday,BATHRUST BLOOR - UNION,General Delay,None,None,S,4602,BATHRUST BLOOR - UNION,
133,2025-01-05,504,9:35,Sunday,KING AND CHURCH,Cleaning - Unsanitary,12,24,W,4419,KING AND CHURCH,
134,2025-01-05,505,9:38,Sunday,BROADVIEW STATION,Emergency Services,10,20,None,4605,BROADVIEW STATION,
135,2025-01-05,505,11:04,Sunday,BROADVIEW STATION,Emergency Services,10,20,None,4406,BROADVIEW STATION,
